N,method,tile,time_ms,gflops
4096,full_cublas,full,9.152512,15016.528744
4096,tiled_cublas,256,44.354687,3098.634295
4096,tiled_cublas,512,18.496511,7430.533794
4096,tiled_cublas,1024,10.488832,13103.360533
4096,tiled_cublas,2048,10.299392,13344.375751
8192,full_cublas,full,71.271484,15427.090335
8192,tiled_cublas,512,147.822662,7438.045089
8192,tiled_cublas,1024,96.746498,11364.872624
8192,tiled_cublas,2048,91.064323,12074.010836
8192,tiled_cublas,4096,87.525375,12562.204083
16384,full_cublas,full,582.261780,15106.766969
16384,tiled_cublas,1024,791.768066,11109.431405
16384,tiled_cublas,2048,747.658264,11764.857615
16384,tiled_cublas,4096,719.277039,12229.075239
